prov,total,week
Canada,29077,03-05-2021
Alberta,4794,10-05-2021
British Columbia,0,10-05-2021
Manitoba,639,10-05-2021
New Brunswick,0,10-05-2021
Newfoundland and Labrador,0,10-05-2021
Northwest Territories,10,10-05-2021
Nova Scotia,0,10-05-2021
Nunavut,0,10-05-2021
Ontario,19311,10-05-2021
Prince Edward Island,2,10-05-2021
Quebec,520,10-05-2021
Saskatchewan,797,10-05-2021
Yukon,1,10-05-2021
Canada,26074,10-05-2021
Alberta,2385,17-05-2021
British Columbia,2309,17-05-2021
Manitoba,978,17-05-2021
New Brunswick,0,17-05-2021
Newfoundland and Labrador,0,17-05-2021
Northwest Territories,10,17-05-2021
Nova Scotia,0,17-05-2021
Nunavut,0,17-05-2021
Ontario,15917,17-05-2021
Prince Edward Island,0,17-05-2021
Quebec,1008,17-05-2021
Saskatchewan,1053,17-05-2021
Yukon,0,17-05-2021
Canada,23660,17-05-2021
Alberta,2009,24-05-2021
British Columbia,941,24-05-2021
Manitoba,886,24-05-2021
New Brunswick,0,24-05-2021
Newfoundland and Labrador,0,24-05-2021
Northwest Territories,0,24-05-2021
Nova Scotia,0,24-05-2021
Nunavut,0,24-05-2021
Ontario,10400,24-05-2021
Prince Edward Island,4,24-05-2021
Quebec,512,24-05-2021
Saskatchewan,932,24-05-2021
Yukon,0,24-05-2021
Canada,15684,24-05-2021
Alberta,1582,31-05-2021
British Columbia,726,31-05-2021
Manitoba,707,31-05-2021
New Brunswick,0,31-05-2021
Newfoundland and Labrador,0,31-05-2021
Northwest Territories,0,31-05-2021
Nova Scotia,0,31-05-2021
Nunavut,0,31-05-2021
Ontario,7094,31-05-2021
Prince Edward Island,0,31-05-2021
Quebec,671,31-05-2021
Saskatchewan,256,31-05-2021
Yukon,0,31-05-2021
Canada,11036,31-05-2021
Alberta,1632,07-06-2021
British Columbia,1277,07-06-2021
Manitoba,556,07-06-2021
New Brunswick,0,07-06-2021
Newfoundland and Labrador,0,07-06-2021
Northwest Territories,0,07-06-2021
Nova Scotia,0,07-06-2021
Nunavut,0,07-06-2021
Ontario,6956,07-06-2021
Prince Edward Island,7,07-06-2021
Quebec,201,07-06-2021
Saskatchewan,224,07-06-2021
Yukon,0,07-06-2021
Canada,10853,07-06-2021
Alberta,833,14-06-2021
British Columbia,826,14-06-2021
Manitoba,641,14-06-2021
New Brunswick,0,14-06-2021
Newfoundland and Labrador,0,14-06-2021
Northwest Territories,51,14-06-2021
Nova Scotia,0,14-06-2021
Nunavut,0,14-06-2021
Ontario,7491,14-06-2021
Prince Edward Island,0,14-06-2021
Quebec,168,14-06-2021
Saskatchewan,179,14-06-2021
Yukon,0,14-06-2021
Canada,10189,14-06-2021
Alberta,492,21-06-2021
British Columbia,1026,21-06-2021
Manitoba,454,21-06-2021
New Brunswick,0,21-06-2021
Newfoundland and Labrador,0,21-06-2021
Northwest Territories,0,21-06-2021
Nova Scotia,0,21-06-2021
Nunavut,0,21-06-2021
Ontario,2631,21-06-2021
Prince Edward Island,0,21-06-2021
Quebec,44,21-06-2021
Saskatchewan,485,21-06-2021
Yukon,0,21-06-2021
Canada,5132,21-06-2021
Alberta,120,28-06-2021
British Columbia,910,28-06-2021
Manitoba,238,28-06-2021
New Brunswick,0,28-06-2021
Newfoundland and Labrador,0,28-06-2021
Northwest Territories,0,28-06-2021
Nova Scotia,0,28-06-2021
Nunavut,0,28-06-2021
Ontario,1154,28-06-2021
Prince Edward Island,0,28-06-2021
Quebec,94,28-06-2021
Saskatchewan,198,28-06-2021
Yukon,0,28-06-2021
Canada,2714,28-06-2021
